    # ccx tau_xx tau_yy tau_zz
0.0109979 -0.112653 0.000859973 0
0.0120454 -0.810985 0.320874 0
0.0130928 0.151573 -0.00122046 0
0.0141402 0.298614 -0.00135495 0
0.0151876 0.430993 -0.000677539 0
0.0162351 0.544957 -0.000603759 0
0.0172825 0.645923 -0.000547873 0
0.0183299 0.737128 -0.000501902 0
0.0193773 0.821844 -0.000470412 0
0.0204247 0.902302 -0.000451625 0
0.0214722 0.980095 -0.000448063 3.12786e-22
0.0225196 1.05622 -0.000454857 0
0.023567 1.13088 -0.000467992 3.10968e-22
0.0246144 1.204 -0.000479736 0
0.0256619 1.27502 -0.000488002 3.07428e-22
0.0267093 1.34361 -0.000488817 0
0.0277567 1.40938 -0.000486173 3.01953e-22
0.0288041 1.47225 -0.00048048 0
0.0298515 1.53215 -0.000476195 0
0.030899 1.58909 -0.000473796 0
0.0319464 1.64288 -0.00047369 2.8487e-22
0.0329938 1.69326 -0.00047398 2.79278e-22
0.0340412 1.73972 -0.000473248 2.73128e-22
0.0350887 1.78173 -0.000468125 2.66409e-22
0.0361361 1.81864 -0.000459214 2.59114e-22
0.0371835 1.84995 -0.00044365 0
0.0382309 1.87515 -0.000424279 0
0.0392784 1.89388 -0.000399579 2.33836e-22
0.0403258 1.90581 -0.000372461 2.24343e-22
0.0413732 1.91069 -0.000342267 2.14365e-22
0.0424206 1.90825 -0.000310344 2.03934e-22
0.043468 1.89824 -0.000276315 1.9309e-22
0.0445155 1.88043 -0.000240235 1.81872e-22
0.0455629 1.85459 -0.000201623 0
0.0466103 1.82057 -0.000160702 1.58501e-22
0.0476577 1.77828 -0.000116827 1.46452e-22
0.0487052 1.72771 -7.12038e-05 1.34239e-22
0.0497526 1.66898 -2.32743e-05 1.21925e-22
0.0508 1.60232 2.51543e-05 1.09576e-22
0.0518474 1.52805 7.44529e-05 9.72571e-23
0.0528948 1.44655 0.000122904 0
0.0539423 1.35829 0.000170513 7.29713e-23
0.0549897 1.26382 0.00021579 6.11277e-23
0.0560371 1.16375 0.000258645 4.95598e-23
0.0570845 1.05878 0.00029805 3.83181e-23
0.058132 0.94952 0.000335163 2.74456e-23
0.0591794 0.836646 0.000369032 1.69844e-23
0.0602268 0.72054 0.000400523 0
0.0612742 0.602304 0.000428009 -2.57416e-24
0.0623216 0.481666 0.000453991 0
0.0633691 0.360723 0.00143017 0
0.0644165 1.49318 0.0113372 0
0.0654639 0.128538 -0.000255005 5.20369e-23
0.0665113 -0.001998 -0.000200468 0
0.0675588 -0.118876 0.000523418 0
0.0686062 -0.235235 0.000519803 0
0.0696536 -0.34935 0.000520698 0
0.070701 -0.460774 0.000519727 0
0.0717485 -0.569171 0.000515682 0
0.0727959 -0.674267 0.000509904 7.32424e-23
0.0738433 -0.775872 0.000501878 0
0.0748907 -0.873827 0.000492391 0
0.0759381 -0.968056 0.000481373 0
0.0769856 -1.05848 0.000469049 8.46926e-23
0.078033 -1.1451 0.000455865 0
0.0790804 -1.22791 0.000441654 0
0.0801278 -1.30697 0.000427198 0
0.0811753 -1.38232 0.000412206 0
0.0822227 -1.45407 0.000397224 0
0.0832701 -1.52231 0.000382269 0
0.0843175 -1.58714 0.000367259 9.25954e-23
0.0853649 -1.64873 0.000352819 0
0.0864124 -1.70712 0.000338028 0
0.0874598 -1.76259 0.000324525 9.28544e-23
0.0885072 -1.81501 0.000310319 0
0.0895546 -1.86506 0.000298138 9.235e-23
0.0906021 -1.91175 0.000284471 0
0.0916495 -1.95739 0.000274001 0
0.0926969 -1.99813 0.000260424 -9.08118e-23
0.0937443 -2.04106 0.000252295 0
0.0947918 -2.07469 0.000235472 8.93999e-23
0.0958392 -2.11732 0.000236885 0
0.0968866 -2.14246 0.000204294 0
0.097934 -2.18658 0.000232734 0
0.0989814 -2.20231 0.000160886 0
0.100029 -2.24931 0.000259292 0
0.101076 -2.25921 9.91068e-05 8.37185e-23
0.102031 -2.2848 0.000231527 0
0.102957 -2.31914 0.000111811 0
0.104019 -2.33397 0.000149752 9.64214e-21
0.105237 -2.36451 0.00013996 1.65393e-20
0.106633 -2.38964 0.000138009 0
0.108235 -2.41956 0.00013636 0
0.110071 -2.44941 0.000135464 0
0.112177 -2.48111 0.000136251 0
0.114592 -2.51334 0.000138402 0
0.117361 -2.54622 0.000142468 -2.49732e-20
0.120537 -2.57898 0.000148004 0
0.124179 -2.61134 0.000155183 -3.47645e-20
0.128355 -2.64246 0.000163064 2.87372e-20
0.133144 -2.67215 0.000171476 0
0.138636 -2.6993 0.00017859 0
0.144934 -2.72419 0.000184594 0
0.152157 -2.74524 0.000186423 5.03797e-20
0.160439 -2.7637 0.000186177 -4.04932e-20
0.169937 -2.77689 0.000178837 0
0.180828 -2.78819 0.000171569 5.17748e-20
0.193319 -2.79249 0.000154449 0
0.207642 -2.79733 0.000145672 6.62963e-20
0.224067 -2.79246 0.000122004 0
0.242902 -2.79348 0.000124816 0
0.264502 -2.78033 9.7197e-05 0
0.289272 -2.7832 0.000130529 0
0.317677 -2.76429 8.91705e-05 0
0.35025 -2.77477 0.000175697 1.5272e-19
0.387604 -2.75178 9.19239e-05 -8.07707e-20
0.43044 -2.76785 0.000270575 0
0.479563 -2.75973 0.000130291 3.03236e-20
0.535894 -2.78034 0.000432009 0
0.600493 -2.89703 0.000108675 0
