    # ccx tau_xx tau_yy tau_zz
0.0193773 -5.52996 -0.0263607 0
0.0204247 -3.3886 -0.020827 0
0.0214722 -7.60788 0.050965 -2.56699e-20
0.0225196 -6.6538 0.0089707 0
0.023567 -0.433592 -0.0669814 -2.54896e-20
0.0246144 1.25343 -0.0652162 0
0.0256619 2.36972 -0.00193059 -2.55036e-20
0.0267093 1.60489 0.0295495 0
0.0277567 -3.12107 0.0394571 -2.56154e-20
0.0288041 -7.95717 0.0707212 0
0.0298515 -8.11158 0.0173003 0
0.030899 -1.47263 -0.0599337 0
0.0319464 4.85959 -0.06868 -2.50348e-20
0.0329938 7.46486 -0.0219996 -2.50146e-20
0.0340412 8.17225 -0.011964 -2.50927e-20
0.0350887 7.81373 -0.00282384 -2.52025e-20
0.0361361 6.86102 -2.63754e-05 -2.5327e-20
0.0371835 5.69822 0.00274578 0
0.0382309 4.49349 0.00222277 0
0.0392784 3.38205 0.00466231 -2.55996e-20
0.0403258 2.41046 0.00332617 -2.56522e-20
0.0413732 1.57325 0.00416122 -2.56828e-20
0.0424206 0.7781 0.00213565 -2.57061e-20
0.043468 -0.00258102 0.00549506 -3.86865e-22
0.0445155 -0.622928 0.00223657 -2.57093e-20
0.0455629 -1.19825 0.0055546 0
0.0466103 -1.72106 0.00305478 -2.56721e-20
0.0476577 -2.16729 0.00550129 -2.56425e-20
0.0487052 -2.56498 0.00308204 -2.56171e-20
0.0497526 -2.91207 0.00533124 -2.55809e-20
0.0508 -3.21729 0.00300352 -2.55503e-20
0.0518474 -3.48599 0.00529511 -2.55097e-20
0.0528948 -3.71557 0.00304189 0
0.0539423 -3.92159 0.00544681 -2.54327e-20
0.0549897 -4.09057 0.0033011 -2.53969e-20
0.0560371 -4.25521 0.00532522 -2.5352e-20
0.0570845 -4.39123 0.00338176 -2.53132e-20
0.058132 -4.53089 0.00428641 -2.52673e-20
0.0591794 -4.65292 0.002755 -2.52246e-20
0.0602268 -4.76509 0.00292396 0
0.0612742 -4.86333 0.00181615 -2.51321e-20
0.0623216 -4.9455 0.00219077 0
0.0633691 -5.01479 0.00128921 0
0.0644165 -5.07666 0.00196166 0
0.0654639 -5.12871 0.00107537 2.49447e-20
0.0665113 -5.17902 0.00182828 0
0.0675588 -5.22075 0.000897181 0
0.0686062 -5.26133 0.00170192 0
0.0696536 -5.29309 0.000719424 0
0.070701 -5.32457 0.00157526 0
0.0717485 -5.34759 0.00053138 0
0.0727959 -5.37292 0.00143326 2.46198e-20
0.0738433 -5.38825 0.000314762 0
0.0748907 -5.40836 0.0012796 0
0.0759381 -5.41485 3.56581e-05 0
0.0769856 -5.42726 0.00132057 2.44402e-20
0.078033 -5.42252 -0.000193692 0
0.0790804 -5.43399 0.00196686 0
0.0801278 -5.42165 -2.91144e-05 0
